"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"Misdrijven, totaal";"2010";"Nederland";1200825
"Misdrijven, totaal";"2011";"Nederland";1206565
"Misdrijven, totaal";"2012";"Nederland";1154950
"Misdrijven, totaal";"2013";"Nederland";1105565
"Misdrijven, totaal";"2014";"Nederland";1025630
"Misdrijven, totaal";"2015";"Nederland";978945
"Misdrijven, totaal";"2016";"Nederland";930325
"Misdrijven, totaal";"2017";"Nederland";832950
"Misdrijven, totaal";"2018*";"Nederland";786280
"Misdrijven, totaal";"2019*";"Nederland";817390
"1 Vermogensmisdrijven";"2010";"Nederland";715555
"1 Vermogensmisdrijven";"2011";"Nederland";723155
"1 Vermogensmisdrijven";"2012";"Nederland";704250
"1 Vermogensmisdrijven";"2013";"Nederland";690610
"1 Vermogensmisdrijven";"2014";"Nederland";631450
"1 Vermogensmisdrijven";"2015";"Nederland";614050
"1 Vermogensmisdrijven";"2016";"Nederland";576445
"1 Vermogensmisdrijven";"2017";"Nederland";502510
"1 Vermogensmisdrijven";"2018*";"Nederland";457815
"1 Vermogensmisdrijven";"2019*";"Nederland";473310
"1.1 Diefstal/verduistering en inbraak";"2010";"Nederland";670470
"1.1 Diefstal/verduistering en inbraak";"2011";"Nederland";677970
"1.1 Diefstal/verduistering en inbraak";"2012";"Nederland";656450
"1.1 Diefstal/verduistering en inbraak";"2013";"Nederland";650650
"1.1 Diefstal/verduistering en inbraak";"2014";"Nederland";592590
"1.1 Diefstal/verduistering en inbraak";"2015";"Nederland";549105
"1.1 Diefstal/verduistering en inbraak";"2016";"Nederland";498285
"1.1 Diefstal/verduistering en inbraak";"2017";"Nederland";428135
"1.1 Diefstal/verduistering en inbraak";"2018*";"Nederland";380325
"1.1 Diefstal/verduistering en inbraak";"2019*";"Nederland";374160
"1.1.1 Diefstal en inbraak met geweld";"2010";"Nederland";16290
"1.1.1 Diefstal en inbraak met geweld";"2011";"Nederland";15590
"1.1.1 Diefstal en inbraak met geweld";"2012";"Nederland";14945
"1.1.1 Diefstal en inbraak met geweld";"2013";"Nederland";13350
"1.1.1 Diefstal en inbraak met geweld";"2014";"Nederland";10455
"1.1.1 Diefstal en inbraak met geweld";"2015";"Nederland";9730
