"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"Misdrijven, totaal";"2010";"Enschede";14485
"Misdrijven, totaal";"2011";"Enschede";14265
"Misdrijven, totaal";"2012";"Enschede";14430
"Misdrijven, totaal";"2013";"Enschede";14215
"Misdrijven, totaal";"2014";"Enschede";12455
"Misdrijven, totaal";"2015";"Enschede";11120
"Misdrijven, totaal";"2016";"Enschede";11020
"Misdrijven, totaal";"2017";"Enschede";9630
"Misdrijven, totaal";"2018*";"Enschede";8995
"Misdrijven, totaal";"2019*";"Enschede";9050
"1 Vermogensmisdrijven";"2010";"Enschede";9250
"1 Vermogensmisdrijven";"2011";"Enschede";9255
"1 Vermogensmisdrijven";"2012";"Enschede";9520
"1 Vermogensmisdrijven";"2013";"Enschede";9690
"1 Vermogensmisdrijven";"2014";"Enschede";8445
"1 Vermogensmisdrijven";"2015";"Enschede";7495
"1 Vermogensmisdrijven";"2016";"Enschede";7380
"1 Vermogensmisdrijven";"2017";"Enschede";6295
"1 Vermogensmisdrijven";"2018*";"Enschede";5640
"1 Vermogensmisdrijven";"2019*";"Enschede";5560
"1.1 Diefstal/verduistering en inbraak";"2010";"Enschede";8800
"1.1 Diefstal/verduistering en inbraak";"2011";"Enschede";8925
"1.1 Diefstal/verduistering en inbraak";"2012";"Enschede";9055
"1.1 Diefstal/verduistering en inbraak";"2013";"Enschede";9285
"1.1 Diefstal/verduistering en inbraak";"2014";"Enschede";8070
"1.1 Diefstal/verduistering en inbraak";"2015";"Enschede";6940
"1.1 Diefstal/verduistering en inbraak";"2016";"Enschede";6645
"1.1 Diefstal/verduistering en inbraak";"2017";"Enschede";5615
"1.1 Diefstal/verduistering en inbraak";"2018*";"Enschede";4940
"1.1 Diefstal/verduistering en inbraak";"2019*";"Enschede";4670
"1.1.1 Diefstal en inbraak met geweld";"2010";"Enschede";155
"1.1.1 Diefstal en inbraak met geweld";"2011";"Enschede";125
"1.1.1 Diefstal en inbraak met geweld";"2012";"Enschede";185
"1.1.1 Diefstal en inbraak met geweld";"2013";"Enschede";120
"1.1.1 Diefstal en inbraak met geweld";"2014";"Enschede";100
"1.1.1 Diefstal en inbraak met geweld";"2015";"Enschede";125
"1.1.1 Diefstal en inbraak met geweld";"2016";"Enschede";85
"1.1.1 Diefstal en inbraak met geweld";"2017";"Enschede";55
"1.1.1 Diefstal en inbraak met geweld";"2018*";"Enschede";55
"1.1.1 Diefstal en inbraak met geweld";"2019*";"Enschede";70
"1.1.2 Diefstal en inbraak zonder geweld";"2010";"Enschede";8650
"1.1.2 Diefstal en inbraak zonder geweld";"2011";"Enschede";8800
"1.1.2 Diefstal en inbraak zonder geweld";"2012";"Enschede";8870
"1.1.2 Diefstal en inbraak zonder geweld";"2013";"Enschede";9160
"1.1.2 Diefstal en inbraak zonder geweld";"2014";"Enschede";7975
"1.1.2 Diefstal en inbraak zonder geweld";"2015";"Enschede";6820
"1.1.2 Diefstal en inbraak zonder geweld";"2016";"Enschede";6555
"1.1.2 Diefstal en inbraak zonder geweld";"2017";"Enschede";5560
"1.1.2 Diefstal en inbraak zonder geweld";"2018*";"Enschede";4890
"1.1.2 Diefstal en inbraak zonder geweld";"2019*";"Enschede";4595
"1.2 Bedrog";"2010";"Enschede";355
"1.2 Bedrog";"2011";"Enschede";240
"1.2 Bedrog";"2012";"Enschede";350
"1.2 Bedrog";"2013";"Enschede";275
"1.2 Bedrog";"2014";"Enschede";250
"1.2 Bedrog";"2015";"Enschede";365
"1.2 Bedrog";"2016";"Enschede";455
"1.2 Bedrog";"2017";"Enschede";405
"1.2 Bedrog";"2018*";"Enschede";380
"1.2 Bedrog";"2019*";"Enschede";495
"1.2.1 Oplichting";"2010";"Enschede";340
"1.2.1 Oplichting";"2011";"Enschede";235
"1.2.1 Oplichting";"2012";"Enschede";340
"1.2.1 Oplichting";"2013";"Enschede";270
"1.2.1 Oplichting";"2014";"Enschede";245
"1.2.1 Oplichting";"2015";"Enschede";345
"1.2.1 Oplichting";"2016";"Enschede";440
"1.2.1 Oplichting";"2017";"Enschede";380
"1.2.1 Oplichting";"2018*";"Enschede";370
"1.2.1 Oplichting";"2019*";"Enschede";485
"1.2.2 Flessentrekkerij";"2010";"Enschede";5
"1.2.2 Flessentrekkerij";"2011";"Enschede";5
"1.2.2 Flessentrekkerij";"2012";"Enschede";5
"1.2.2 Flessentrekkerij";"2013";"Enschede";5
"1.2.2 Flessentrekkerij";"2014";"Enschede";5
"1.2.2 Flessentrekkerij";"2015";"Enschede";0
"1.2.2 Flessentrekkerij";"2016";"Enschede";0
"1.2.2 Flessentrekkerij";"2017";"Enschede";0
"1.2.2 Flessentrekkerij";"2018*";"Enschede";0
"1.2.2 Flessentrekkerij";"2019*";"Enschede";0
"1.2.3 Bedrog (overig)";"2010";"Enschede";5
"1.2.3 Bedrog (overig)";"2011";"Enschede";0
"1.2.3 Bedrog (overig)";"2012";"Enschede";5
"1.2.3 Bedrog (overig)";"2013";"Enschede";0
"1.2.3 Bedrog (overig)";"2014";"Enschede";5
"1.2.3 Bedrog (overig)";"2015";"Enschede";15
"1.2.3 Bedrog (overig)";"2016";"Enschede";20
"1.2.3 Bedrog (overig)";"2017";"Enschede";20
"1.2.3 Bedrog (overig)";"2018*";"Enschede";10
"1.2.3 Bedrog (overig)";"2019*";"Enschede";10
"1.3 Valsheidsmisdrijf";"2010";"Enschede";50
"1.3 Valsheidsmisdrijf";"2011";"Enschede";60
"1.3 Valsheidsmisdrijf";"2012";"Enschede";75
"1.3 Valsheidsmisdrijf";"2013";"Enschede";65
"1.3 Valsheidsmisdrijf";"2014";"Enschede";50
"1.3 Valsheidsmisdrijf";"2015";"Enschede";115
"1.3 Valsheidsmisdrijf";"2016";"Enschede";205
"1.3 Valsheidsmisdrijf";"2017";"Enschede";215
"1.3 Valsheidsmisdrijf";"2018*";"Enschede";245
"1.3 Valsheidsmisdrijf";"2019*";"Enschede";310
"1.3.1 Muntmisdrijf";"2010";"Enschede";5
"1.3.1 Muntmisdrijf";"2011";"Enschede";10
"1.3.1 Muntmisdrijf";"2012";"Enschede";5
"1.3.1 Muntmisdrijf";"2013";"Enschede";20
"1.3.1 Muntmisdrijf";"2014";"Enschede";15
"1.3.1 Muntmisdrijf";"2015";"Enschede";10
"1.3.1 Muntmisdrijf";"2016";"Enschede";20
"1.3.1 Muntmisdrijf";"2017";"Enschede";5
"1.3.1 Muntmisdrijf";"2018*";"Enschede";15
"1.3.1 Muntmisdrijf";"2019*";"Enschede";15
"1.3.2 Valsheid in zegels en merken";"2010";"Enschede";0
"1.3.2 Valsheid in zegels en merken";"2011";"Enschede";0
"1.3.2 Valsheid in zegels en merken";"2012";"Enschede";0
"1.3.2 Valsheid in zegels en merken";"2013";"Enschede";0
"1.3.2 Valsheid in zegels en merken";"2014";"Enschede";0
"1.3.2 Valsheid in zegels en merken";"2015";"Enschede";0
"1.3.2 Valsheid in zegels en merken";"2016";"Enschede";5
"1.3.2 Valsheid in zegels en merken";"2017";"Enschede";10
"1.3.2 Valsheid in zegels en merken";"2018*";"Enschede";5
"1.3.2 Valsheid in zegels en merken";"2019*";"Enschede";0
"1.3.3 Valsheid in geschriften";"2010";"Enschede";40
"1.3.3 Valsheid in geschriften";"2011";"Enschede";50
"1.3.3 Valsheid in geschriften";"2012";"Enschede";70
"1.3.3 Valsheid in geschriften";"2013";"Enschede";45
"1.3.3 Valsheid in geschriften";"2014";"Enschede";30
"1.3.3 Valsheid in geschriften";"2015";"Enschede";105
"1.3.3 Valsheid in geschriften";"2016";"Enschede";180
"1.3.3 Valsheid in geschriften";"2017";"Enschede";200
"1.3.3 Valsheid in geschriften";"2018*";"Enschede";225
"1.3.3 Valsheid in geschriften";"2019*";"Enschede";295
"1.4 Heling";"2010";"Enschede";40
"1.4 Heling";"2011";"Enschede";25
"1.4 Heling";"2012";"Enschede";30
